build_year,lat,living_area,long,municipality_name,zipcode,num_rooms,object_type_name,price,water_percentage_1000,travel_time_private_transport,travel_time_public_transport,number_of_buildings_in_hectare,number_of_apartments_in_hectare,number_of_workplaces_in_hectare,number_of_workplaces_sector_1_in_hectare,number_of_workplaces_sector_2_in_hectare,number_of_workplaces_sector_3_in_hectare,population_in_hectare
1990,47.0098075866699,110.0,8.48378944396973,Vitznau,6354,3.0,Wohnung,815000.0,0.4005653825715809,35.0,102.0,10,26.0,7,0,0,7,34
2017,46.8721771240234,120.0,9.88018321990967,Klosters-Serneus,7250,3.0,Wohnung,890000.0,0.008272204495314552,85.0,112.0,7,54.0,3,0,0,3,44
2010,46.519172668457,107.0,6.52588176727295,Préverenges,1028,4.0,Wohnung,870000.0,0.14053380417311204,9.0,25.0,5,39.0,3,0,3,0,89
2018,47.5213432312012,103.0,8.53697109222412,Bülach,8180,3.0,Wohnung,829000.0,0.003954126706020564,14.0,18.0,2,2.0,3,0,3,0,4
2007,46.510215759277294,95.0,9.85242652893066,Celerina/Schlarigna,7505,3.0,Wohnung,865000.0,0.011115951931518585,101.0,198.0,9,45.0,3,0,3,3,85
2015,47.5354194641113,112.0,7.71039485931396,Augst,4302,4.0,Wohnung,849000.0,0.08179529801292536,10.0,16.0,3,30.0,3,0,0,3,69
2016,47.4431686401367,119.0,8.67109107971191,Lindau,8315,4.0,Wohnung,840000.0,0.0,13.0,24.0,2,11.0,0,0,0,0,10
1978,47.537502288818395,96.0,7.57120752334595,Binningen,4102,3.0,Wohnung,895000.0,0.0043771326983131215,4.0,10.0,8,50.0,17,0,0,17,110
1990,46.86417388916021,127.0,9.88101196289062,Klosters-Serneus,7250,3.0,Wohnung,865000.0,0.014617054710858347,85.0,112.0,7,39.0,3,0,0,3,28
2008,47.11698913574221,110.0,8.77562999725342,Einsiedeln,8841,4.0,Wohnung,870000.0,0.3762621772251755,27.0,42.0,6,29.0,3,0,0,3,54
2018,46.460453033447294,118.0,6.208910942077639,Arzier-Le Muids,1273,4.0,Wohnung,847000.0,0.0,27.0,45.0,6,26.0,7,0,0,7,61
2015,47.6291389465332,137.0,9.24705219268799,Münsterlingen,8597,4.0,Wohnung,890000.0,0.42006867456417607,46.0,96.0,6,12.0,0,0,0,0,25
